Sr.No,District (Amphoe),Province (Changwat).,Region
178,Hua Sai,Nakhon Si Thammarat,South
179,Hua Taphan,Amnat Charoen,North-East
180,Huai Khot,Uthai Thani,Central
181,Huai Krachao,Kanchanaburi,West
182,Huai Mek,Kalasin,North-East
183,Huai Phueng,Kalasin,North-East
184,Huai Rat,Buriram,North-East
185,Huai Thalaeng,Nakhon Ratchasima,North-East
186,Huai Thap Than,Sisaket,North-East
187,Huai Yot,Trang,South
188,In Buri,Sing Buri,Central
189,Kabang (Malay: Kabae or Kabe),Yala,South
190,Kabin Buri,Prachin Buri,East
191,Kae Dam,Maha Sarakham,North-East
192,Kaeng Hang Maeo,Chanthaburi,East
193,Kaeng Khoi,Saraburi,Central
194,Kaeng Khro,Chaiyaphum,North-East
195,Kaeng Krachan,Phetchaburi,West
196,Kaeng Sanam Nang,Nakhon Ratchasima,North-East
197,Kamalasa,Kalasin,North-East
198,Kamphaeng Saen,Nakhon Pathom,Central
199,Kanchanadit,Surat Thani,South
200,Kantang,Trang,South
201,Kantharalak,Sisaket,North-East
202,Kanthararom,Sisaket,North-East
203,Kantharawichai,Maha Sarakham,North-East
204,Kao Liao,Nakhon Sawan,Central
205,Kap Choeng,Surin,North-East
206,Kapho,Pattani,South
207,Kapoe,Ranong,South
208,Kapong,Phang Nga,South
209,Kaset Sombun,Chaiyaphum,North-East
210,Kaset Wisai,Roi Et,North-East
211,Kathu,Phuket,South
212,Khaen Dong,Buriram,North-East
213,Khai Bang Rachan,Sing Buri,Central
214,Kham Muang,Kalasin,North-East
215,Kham Sakaesaeng,Nakhon Ratchasima,North-East
216,Kham Ta Kla,Sakon Nakhon,North-East
217,Kham Thale So,Nakhon Ratchasima,North-East
218,Khamcha-i,Mukdahan,North-East
219,Khanom,Nakhon Si Thammarat,South
220,Khanu Woralaksaburi,Kamphaeng Phet,Central
221,Khao Chaison,Phatthalung,South
222,Khao Chakan,Sa Kaeo,East
223,Khao Chamao,Rayong,East
224,Khao Khitchakut,Chanthaburi,East
225,Khao Kho,Phetchabun,Central
226,Khao Phanom,Krabi,South
227,Khao Saming,Trat,East
228,Khao Suan Kwang,Khon Kaen,North-East
229,Khao Wong,Kalasin,North-East
230,Khao Yoi,Phetchaburi,West
231,Khemarat,Ubon Ratchathani,North-East
232,Khian Sa,Surat Thani,South
233,Khiri Mat,Sukhothai,Central
234,Khiri Rat Nikhom,Surat Thani,South
235,Khlong Hat,Sa Kaeo,East
236,Khlong Hoi Khong,Songkhla,South
237,Khlong Khlung,Kamphaeng Phet,Central
238,Khlong Khuean,Chachoengsao,East
239,Khlong Lan,Kamphaeng Phet,Central
240,Khlong Luang,Pathum Thani,Central
241,Khlong Thom,Krabi,South
242,Khlong Yai,Trat,East
243,Khlung,Chanthaburi,East
244,Khok Charoen,Lopburi,Central
245,Khok Pho,Pattani,South
246,Khok Pho Chai,Khon Kaen,North-East
247,Khok Samrong,Lopburi,Central
248,Khok Si Suphan,Sakon Nakhon,North-East
249,Khok Sung,Sa Kaeo,East
250,Khon Buri,Nakhon Ratchasima,North-East
251,Khon San,Chaiyaphum,North-East
252,Khon Sawan,Chaiyaphum,North-East
253,Khong,Nakhon Ratchasima,North-East
254,Khong Chai,Kalasin,North-East
255,Khong Chiam,Ubon Ratchathani,North-East
256,Khu Mueang,Buriram,North-East
257,Khuan Don (Malay: Dusun),Satun,South
258,Khuan Kalong,Satun,South
